Generated by http://statistics.gov.scot,2022-08-01T11:46:37+00:00,
http://statistics.gov.scot/id/statistical-geography/S01008007,"Altonhill South, Longpark and Hillhead - 03",12
http://statistics.gov.scot/id/statistical-geography/S01008008,"Altonhill South, Longpark and Hillhead - 04",6
http://statistics.gov.scot/id/statistical-geography/S01008009,"Altonhill South, Longpark and Hillhead - 05",7
http://statistics.gov.scot/id/statistical-geography/S01008010,"Altonhill South, Longpark and Hillhead - 06",8
http://statistics.gov.scot/id/statistical-geography/S01008011,"Altonhill South, Longpark and Hillhead - 07",11
http://statistics.gov.scot/id/statistical-geography/S01007425,Alva - 01,11
http://statistics.gov.scot/id/statistical-geography/S01007426,Alva - 02,19
http://statistics.gov.scot/id/statistical-geography/S01007427,Alva - 03,14
http://statistics.gov.scot/id/statistical-geography/S01007428,Alva - 04,20
http://statistics.gov.scot/id/statistical-geography/S01007429,Alva - 05,19
http://statistics.gov.scot/id/statistical-geography/S01007430,Alva - 06,15
http://statistics.gov.scot/id/statistical-geography/S01007431,Alva - 07,16
http://statistics.gov.scot/id/statistical-geography/S01011975,Alyth - 01,5
http://statistics.gov.scot/id/statistical-geography/S01011976,Alyth - 02,18
http://statistics.gov.scot/id/statistical-geography/S01011977,Alyth - 03,5
http://statistics.gov.scot/id/statistical-geography/S01011978,Alyth - 04,17
http://statistics.gov.scot/id/statistical-geography/S01012342,Ancrum and Lanton Area,2
http://statistics.gov.scot/id/statistical-geography/S01010276,Anderston - 01,13
http://statistics.gov.scot/id/statistical-geography/S01010277,Anderston - 02,19
http://statistics.gov.scot/id/statistical-geography/S01010278,Anderston - 03,16
http://statistics.gov.scot/id/statistical-geography/S01010279,Anderston - 04,20
http://statistics.gov.scot/id/statistical-geography/S01010280,Anderston - 05,19
http://statistics.gov.scot/id/statistical-geography/S01010281,Anderston - 06,20
http://statistics.gov.scot/id/statistical-geography/S01007279,Angus Glens - 01,1
http://statistics.gov.scot/id/statistical-geography/S01007280,Angus Glens - 02,1
http://statistics.gov.scot/id/statistical-geography/S01007281,Angus Glens - 03,1
http://statistics.gov.scot/id/statistical-geography/S01007282,Angus Glens - 04,1
http://statistics.gov.scot/id/statistical-geography/S01007283,Angus Glens - 05,11
http://statistics.gov.scot/id/statistical-geography/S01007664,Annan East - 01,17
http://statistics.gov.scot/id/statistical-geography/S01007665,Annan East - 02,11
http://statistics.gov.scot/id/statistical-geography/S01007666,Annan East - 03,5
http://statistics.gov.scot/id/statistical-geography/S01007667,Annan East - 04,8
http://statistics.gov.scot/id/statistical-geography/S01007668,Annan East - 05,12
http://statistics.gov.scot/id/statistical-geography/S01007669,Annan East - 06,16
http://statistics.gov.scot/id/statistical-geography/S01007670,Annan East - 07,7
http://statistics.gov.scot/id/statistical-geography/S01007671,Annan East - 08,2
http://statistics.gov.scot/id/statistical-geography/S01007660,Annan West - 01,12
http://statistics.gov.scot/id/statistical-geography/S01007661,Annan West - 02,20
http://statistics.gov.scot/id/statistical-geography/S01007662,Annan West - 03,18
http://statistics.gov.scot/id/statistical-geography/S01007663,Annan West - 04,17
http://statistics.gov.scot/id/statistical-geography/S01007651,Annandale East - 01,1
http://statistics.gov.scot/id/statistical-geography/S01007652,Annandale East - 02,3
http://statistics.gov.scot/id/statistical-geography/S01007653,Annandale East - 03,3
http://statistics.gov.scot/id/statistical-geography/S01007654,Annandale East - 04,7
http://statistics.gov.scot/id/statistical-geography/S01007655,Annandale East - 05,1
http://statistics.gov.scot/id/statistical-geography/S01007656,Annandale West - 01,1
http://statistics.gov.scot/id/statistical-geography/S01007657,Annandale West - 02,1
http://statistics.gov.scot/id/statistical-geography/S01007658,Annandale West - 03,2
http://statistics.gov.scot/id/statistical-geography/S01007659,Annandale West - 04,3
http://statistics.gov.scot/id/statistical-geography/S01012535,"Annbank, Mossblown and Tarbolton - the Coalfields - 01",3
http://statistics.gov.scot/id/statistical-geography/S01012536,"Annbank, Mossblown and Tarbolton - the Coalfields - 02",3
http://statistics.gov.scot/id/statistical-geography/S01012537,"Annbank, Mossblown and Tarbolton - the Coalfields - 03",3
http://statistics.gov.scot/id/statistical-geography/S01012538,"Annbank, Mossblown and Tarbolton - the Coalfields - 04",4
http://statistics.gov.scot/id/statistical-geography/S01012539,"Annbank, Mossblown and Tarbolton - the Coalfields - 05",5
http://statistics.gov.scot/id/statistical-geography/S01012540,"Annbank, Mossblown and Tarbolton - the Coalfields - 06",14
http://statistics.gov.scot/id/statistical-geography/S01012541,"Annbank, Mossblown and Tarbolton - the Coalfields - 07",3
http://statistics.gov.scot/id/statistical-geography/S01010465,Anniesland East - 01,5
http://statistics.gov.scot/id/statistical-geography/S01010466,Anniesland East - 02,13
http://statistics.gov.scot/id/statistical-geography/S01010467,Anniesland East - 03,13
http://statistics.gov.scot/id/statistical-geography/S01010468,Anniesland East - 04,11
http://statistics.gov.scot/id/statistical-geography/S01010469,Anniesland East - 05,20
http://statistics.gov.scot/id/statistical-geography/S01010470,Anniesland West - 01,19
http://statistics.gov.scot/id/statistical-geography/S01010471,Anniesland West - 02,17
http://statistics.gov.scot/id/statistical-geography/S01010472,Anniesland West - 03,11
http://statistics.gov.scot/id/statistical-geography/S01010473,Anniesland West - 04,19
http://statistics.gov.scot/id/statistical-geography/S01010474,Anniesland West - 05,17
http://statistics.gov.scot/id/statistical-geography/S01010475,Anniesland West - 06,9
http://statistics.gov.scot/id/statistical-geography/S01010476,Anniesland West - 07,20
http://statistics.gov.scot/id/statistical-geography/S01010477,Anniesland West - 08,18
http://statistics.gov.scot/id/statistical-geography/S01009707,Anstruther,14
http://statistics.gov.scot/id/statistical-geography/S01009708,Anstruther East and Cellardyke,7
http://statistics.gov.scot/id/statistical-geography/S01009709,Anstruther South West,17
http://statistics.gov.scot/id/statistical-geography/S01009710,Anstruther Waid,17
http://statistics.gov.scot/id/statistical-geography/S01009711,Anstruther West,17
http://statistics.gov.scot/id/statistical-geography/S01007190,Arbroath Cliffburn - 01,14
http://statistics.gov.scot/id/statistical-geography/S01007191,Arbroath Cliffburn - 02,16
http://statistics.gov.scot/id/statistical-geography/S01007192,Arbroath Cliffburn - 03,17
http://statistics.gov.scot/id/statistical-geography/S01007193,Arbroath Cliffburn - 04,18
http://statistics.gov.scot/id/statistical-geography/S01007194,Arbroath Cliffburn - 05,17
http://statistics.gov.scot/id/statistical-geography/S01007195,Arbroath Cliffburn - 06,13
http://statistics.gov.scot/id/statistical-geography/S01007196,Arbroath Cliffburn - 07,11
http://statistics.gov.scot/id/statistical-geography/S01007184,Arbroath Harbour - 01,16
http://statistics.gov.scot/id/statistical-geography/S01007185,Arbroath Harbour - 02,15
http://statistics.gov.scot/id/statistical-geography/S01007186,Arbroath Harbour - 03,18
http://statistics.gov.scot/id/statistical-geography/S01007187,Arbroath Harbour - 04,20
http://statistics.gov.scot/id/statistical-geography/S01007188,Arbroath Harbour - 05,20
http://statistics.gov.scot/id/statistical-geography/S01007189,Arbroath Harbour - 06,19
http://statistics.gov.scot/id/statistical-geography/S01007180,Arbroath Keptie - 01,11
http://statistics.gov.scot/id/statistical-geography/S01007181,Arbroath Keptie - 02,11
http://statistics.gov.scot/id/statistical-geography/S01007182,Arbroath Keptie - 03,12
http://statistics.gov.scot/id/statistical-geography/S01007183,Arbroath Keptie - 04,10
http://statistics.gov.scot/id/statistical-geography/S01007173,Arbroath Kirkton - 01,3
http://statistics.gov.scot/id/statistical-geography/S01007174,Arbroath Kirkton - 02,3
http://statistics.gov.scot/id/statistical-geography/S01007175,Arbroath Kirkton - 03,5
http://statistics.gov.scot/id/statistical-geography/S01007176,Arbroath Kirkton - 04,7
http://statistics.gov.scot/id/statistical-geography/S01007177,Arbroath Kirkton - 05,11
http://statistics.gov.scot/id/statistical-geography/S01007178,Arbroath Kirkton - 06,9
http://statistics.gov.scot/id/statistical-geography/S01007179,Arbroath Kirkton - 07,6
http://statistics.gov.scot/id/statistical-geography/S01007170,Arbroath Landward - 01,1
http://statistics.gov.scot/id/statistical-geography/S01007171,Arbroath Landward - 02,2
http://statistics.gov.scot/id/statistical-geography/S01007172,Arbroath Landward - 03,2
http://statistics.gov.scot/id/statistical-geography/S01007197,Arbroath Warddykes - 01,14
http://statistics.gov.scot/id/statistical-geography/S01007198,Arbroath Warddykes - 02,15
http://statistics.gov.scot/id/statistical-geography/S01007199,Arbroath Warddykes - 03,12
http://statistics.gov.scot/id/statistical-geography/S01007200,Arbroath Warddykes - 04,5
http://statistics.gov.scot/id/statistical-geography/S01007201,Arbroath Warddykes - 05,9
http://statistics.gov.scot/id/statistical-geography/S01007202,Arbroath Warddykes - 06,7
http://statistics.gov.scot/id/statistical-geography/S01007203,Arbroath Warddykes - 07,4
http://statistics.gov.scot/id/statistical-geography/S01007857,Ardler and St Marys - 01,7
http://statistics.gov.scot/id/statistical-geography/S01007858,Ardler and St Marys - 02,9
http://statistics.gov.scot/id/statistical-geography/S01007859,Ardler and St Marys - 03,9
http://statistics.gov.scot/id/statistical-geography/S01007860,Ardler and St Marys - 04,7
http://statistics.gov.scot/id/statistical-geography/S01007861,Ardler and St Marys - 05,12
http://statistics.gov.scot/id/statistical-geography/S01007862,Ardler and St Marys - 06,7
http://statistics.gov.scot/id/statistical-geography/S01007863,Ardler and St Marys - 07,6
http://statistics.gov.scot/id/statistical-geography/S01007864,Ardler and St Marys - 08,6
http://statistics.gov.scot/id/statistical-geography/S01011242,Ardrossan Central - 01,9
http://statistics.gov.scot/id/statistical-geography/S01011243,Ardrossan Central - 02,13
http://statistics.gov.scot/id/statistical-geography/S01011244,Ardrossan Central - 03,18
http://statistics.gov.scot/id/statistical-geography/S01011245,Ardrossan Central - 04,14
http://statistics.gov.scot/id/statistical-geography/S01011250,Ardrossan North East - 01,5
http://statistics.gov.scot/id/statistical-geography/S01011251,Ardrossan North East - 02,12
http://statistics.gov.scot/id/statistical-geography/S01011252,Ardrossan North East - 03,8
http://statistics.gov.scot/id/statistical-geography/S01011253,Ardrossan North East - 04,15
http://statistics.gov.scot/id/statistical-geography/S01011254,Ardrossan North East - 05,8
http://statistics.gov.scot/id/statistical-geography/S01011246,Ardrossan North West - 01,9
http://statistics.gov.scot/id/statistical-geography/S01011247,Ardrossan North West - 02,4
http://statistics.gov.scot/id/statistical-geography/S01011248,Ardrossan North West - 03,4
http://statistics.gov.scot/id/statistical-geography/S01011249,Ardrossan North West - 04,4
http://statistics.gov.scot/id/statistical-geography/S01013383,Armadale - 01,18
http://statistics.gov.scot/id/statistical-geography/S01013384,Armadale - 02,17
http://statistics.gov.scot/id/statistical-geography/S01013385,Armadale - 03,17
http://statistics.gov.scot/id/statistical-geography/S01013386,Armadale - 04,6
http://statistics.gov.scot/id/statistical-geography/S01013387,Armadale - 05,11
http://statistics.gov.scot/id/statistical-geography/S01013388,Armadale - 06,20
http://statistics.gov.scot/id/statistical-geography/S01013389,Armadale - 07,11
http://statistics.gov.scot/id/statistical-geography/S01013390,Armadale - 08,14
http://statistics.gov.scot/id/statistical-geography/S01013391,Armadale - 09,9
http://statistics.gov.scot/id/statistical-geography/S01013392,Armadale South - 01,5
http://statistics.gov.scot/id/statistical-geography/S01013393,Armadale South - 02,7
http://statistics.gov.scot/id/statistical-geography/S01013394,Armadale South - 03,13
http://statistics.gov.scot/id/statistical-geography/S01013395,Armadale South - 04,13
http://statistics.gov.scot/id/statistical-geography/S01013396,Armadale South - 05,7
http://statistics.gov.scot/id/statistical-geography/S01013397,Armadale South - 06,8
http://statistics.gov.scot/id/statistical-geography/S01013398,Armadale South - 07,5
http://statistics.gov.scot/id/statistical-geography/S01013399,Armadale South - 08,9
http://statistics.gov.scot/id/statistical-geography/S01011171,Arran - 01,1
http://statistics.gov.scot/id/statistical-geography/S01011172,Arran - 02,1
http://statistics.gov.scot/id/statistical-geography/S01011173,Arran - 03,5
http://statistics.gov.scot/id/statistical-geography/S01011174,Arran - 04,3
http://statistics.gov.scot/id/statistical-geography/S01011175,Arran - 05,18
http://statistics.gov.scot/id/statistical-geography/S01011176,Arran - 06,8
http://statistics.gov.scot/id/statistical-geography/S01011177,Arran - 07,15
http://statistics.gov.scot/id/statistical-geography/S01008318,Arthurlie and Gateside - 01,6
http://statistics.gov.scot/id/statistical-geography/S01008319,Arthurlie and Gateside - 02,15
http://statistics.gov.scot/id/statistical-geography/S01008320,Arthurlie and Gateside - 03,16
http://statistics.gov.scot/id/statistical-geography/S01008321,Arthurlie and Gateside - 04,13
http://statistics.gov.scot/id/statistical-geography/S01008322,Arthurlie and Gateside - 05,11
http://statistics.gov.scot/id/statistical-geography/S01012653,Ashgill and Netherburn - 01,3
http://statistics.gov.scot/id/statistical-geography/S01012654,Ashgill and Netherburn - 02,2
http://statistics.gov.scot/id/statistical-geography/S01012655,Ashgill and Netherburn - 03,4
http://statistics.gov.scot/id/statistical-geography/S01006653,Ashgrove - 01,17
http://statistics.gov.scot/id/statistical-geography/S01006654,Ashgrove - 02,12
http://statistics.gov.scot/id/statistical-geography/S01006655,Ashgrove - 03,10
http://statistics.gov.scot/id/statistical-geography/S01006656,Ashgrove - 04,19
http://statistics.gov.scot/id/statistical-geography/S01006657,Ashgrove - 05,18
http://statistics.gov.scot/id/statistical-geography/S01012376,Ashkirk Lilliesleaf and Midlem Area,1
http://statistics.gov.scot/id/statistical-geography/S01008323,Auchenback - 01,16
http://statistics.gov.scot/id/statistical-geography/S01008324,Auchenback - 02,12
http://statistics.gov.scot/id/statistical-geography/S01008325,Auchenback - 03,17
http://statistics.gov.scot/id/statistical-geography/S01008326,Auchenback - 04,13
http://statistics.gov.scot/id/statistical-geography/S01008327,Auchenback - 05,19
http://statistics.gov.scot/id/statistical-geography/S01008102,Auchinairn - 01,13
http://statistics.gov.scot/id/statistical-geography/S01008103,Auchinairn - 02,17
http://statistics.gov.scot/id/statistical-geography/S01008104,Auchinairn - 03,10
http://statistics.gov.scot/id/statistical-geography/S01008105,Auchinairn - 04,13
http://statistics.gov.scot/id/statistical-geography/S01008106,Auchinairn - 05,13
http://statistics.gov.scot/id/statistical-geography/S01008107,Auchinairn - 06,8
http://statistics.gov.scot/id/statistical-geography/S01007921,Auchinleck - 01,8
http://statistics.gov.scot/id/statistical-geography/S01007922,Auchinleck - 02,15
http://statistics.gov.scot/id/statistical-geography/S01007923,Auchinleck - 03,14
http://statistics.gov.scot/id/statistical-geography/S01007924,Auchinleck - 04,16
http://statistics.gov.scot/id/statistical-geography/S01009574,Auchmuty Dovecot and Town Centre,17
http://statistics.gov.scot/id/statistical-geography/S01009573,Auchmuty East,17
http://statistics.gov.scot/id/statistical-geography/S01009571,Auchmuty North West,15
http://statistics.gov.scot/id/statistical-geography/S01009572,Auchmuty West,15
http://statistics.gov.scot/id/statistical-geography/S01007061,Auchnagatt - 01,1
http://statistics.gov.scot/id/statistical-geography/S01007062,Auchnagatt - 02,1
http://statistics.gov.scot/id/statistical-geography/S01007063,Auchnagatt - 03,7
http://statistics.gov.scot/id/statistical-geography/S01007064,Auchnagatt - 04,1
http://statistics.gov.scot/id/statistical-geography/S01011852,Auchterarder - 01,20
http://statistics.gov.scot/id/statistical-geography/S01011853,Auchterarder - 02,13
http://statistics.gov.scot/id/statistical-geography/S01011854,Auchterarder - 03,19
http://statistics.gov.scot/id/statistical-geography/S01011855,Auchterarder - 04,19
http://statistics.gov.scot/id/statistical-geography/S01011856,Auchterarder - 05,13
http://statistics.gov.scot/id/statistical-geography/S01009443,Auchterderran Landward and Cluny,7
http://statistics.gov.scot/id/statistical-geography/S01007013,Auchterless and Monquhitter - 01,2
http://statistics.gov.scot/id/statistical-geography/S01007014,Auchterless and Monquhitter - 02,2
http://statistics.gov.scot/id/statistical-geography/S01007015,Auchterless and Monquhitter - 03,1
http://statistics.gov.scot/id/statistical-geography/S01007016,Auchterless and Monquhitter - 04,1
http://statistics.gov.scot/id/statistical-geography/S01009673,Auchtermuchty East,9
http://statistics.gov.scot/id/statistical-geography/S01009672,Auchtermuchty West,4
http://statistics.gov.scot/id/statistical-geography/S01009457,Auchtertool,2
http://statistics.gov.scot/id/statistical-geography/S01012487,"Ayr North Harbour, Wallacetown and Newton South - 01",20
http://statistics.gov.scot/id/statistical-geography/S01012488,"Ayr North Harbour, Wallacetown and Newton South - 02",19
http://statistics.gov.scot/id/statistical-geography/S01012489,"Ayr North Harbour, Wallacetown and Newton South - 03",18
http://statistics.gov.scot/id/statistical-geography/S01012490,"Ayr North Harbour, Wallacetown and Newton South - 04",19
http://statistics.gov.scot/id/statistical-geography/S01012491,"Ayr North Harbour, Wallacetown and Newton South - 05",16
http://statistics.gov.scot/id/statistical-geography/S01012492,"Ayr North Harbour, Wallacetown and Newton South - 06",16
http://statistics.gov.scot/id/statistical-geography/S01012480,Ayr South Harbour and Town Centre - 01,9
http://statistics.gov.scot/id/statistical-geography/S01012481,Ayr South Harbour and Town Centre - 02,18
http://statistics.gov.scot/id/statistical-geography/S01012482,Ayr South Harbour and Town Centre - 03,20
http://statistics.gov.scot/id/statistical-geography/S01012483,Ayr South Harbour and Town Centre - 04,18
http://statistics.gov.scot/id/statistical-geography/S01012484,Ayr South Harbour and Town Centre - 05,19
http://statistics.gov.scot/id/statistical-geography/S01012485,Ayr South Harbour and Town Centre - 06,17
http://statistics.gov.scot/id/statistical-geography/S01012486,Ayr South Harbour and Town Centre - 07,18
http://statistics.gov.scot/id/statistical-geography/S01012309,Ayton,4
http://statistics.gov.scot/id/statistical-geography/S01008433,Baberton and Juniper Green - 01,6
http://statistics.gov.scot/id/statistical-geography/S01008434,Baberton and Juniper Green - 02,7
http://statistics.gov.scot/id/statistical-geography/S01008435,Baberton and Juniper Green - 03,9
http://statistics.gov.scot/id/statistical-geography/S01008436,Baberton and Juniper Green - 04,8
http://statistics.gov.scot/id/statistical-geography/S01008437,Baberton and Juniper Green - 05,6
http://statistics.gov.scot/id/statistical-geography/S01010536,Badenoch and Strathspey Central - 01,15
http://statistics.gov.scot/id/statistical-geography/S01010537,Badenoch and Strathspey Central - 02,14
http://statistics.gov.scot/id/statistical-geography/S01010538,Badenoch and Strathspey Central - 03,6
http://statistics.gov.scot/id/statistical-geography/S01010539,Badenoch and Strathspey Central - 04,2
http://statistics.gov.scot/id/statistical-geography/S01010540,Badenoch and Strathspey Central - 05,2
http://statistics.gov.scot/id/statistical-geography/S01010541,Badenoch and Strathspey Central - 06,3
http://statistics.gov.scot/id/statistical-geography/S01010542,Badenoch and Strathspey North - 01,1
http://statistics.gov.scot/id/statistical-geography/S01010543,Badenoch and Strathspey North - 02,1
http://statistics.gov.scot/id/statistical-geography/S01010544,Badenoch and Strathspey North - 03,10
http://statistics.gov.scot/id/statistical-geography/S01010545,Badenoch and Strathspey North - 04,17
http://statistics.gov.scot/id/statistical-geography/S01010546,Badenoch and Strathspey North - 05,19
http://statistics.gov.scot/id/statistical-geography/S01010547,Badenoch and Strathspey North - 06,1
